SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
14000001;7.80;7;-1;-1;-1;6;7.25;8.75;7.40;-1;-1;-1;-1;-1;
14000002;5;5;-1;-1;-1;2;5.50;-1;-1;-1;-1;-1;-1;-1;
14000003;5.20;5;-1;-1;-1;6.25;8;-1;-1;-1;-1;-1;-1;-1;
14000004;7.60;7.25;-1;-1;-1;5.75;6.75;9;5.60;-1;-1;-1;-1;-1;
14000005;7.20;5.50;5.25;7.50;5.75;-1;-1;-1;2.60;-1;-1;-1;-1;-1;
14000006;8.40;6.25;-1;-1;-1;2.75;6.50;-1;-1;-1;-1;-1;-1;-1;
14000007;6.60;7.25;4;4.25;4.25;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
14000008;3;4.75;-1;-1;-1;2.50;6.50;7;3.20;-1;-1;-1;-1;-1;
14000009;4.20;6.50;-1;-1;-1;2.75;6.25;8.25;3;-1;-1;-1;-1;-1;
14000010;6.60;7.50;-1;-1;-1;8.25;8.50;10;8.40;-1;-1;-1;-1;-1;
14000011;5.80;7.25;-1;-1;-1;9.25;9.50;9.75;4.40;-1;-1;-1;-1;-1;
14000012;5.40;5.75;-1;-1;-1;2.25;5.75;-1;-1;-1;-1;-1;-1;-1;
14000013;3.60;4.50;-1;-1;-1;3;4;-1;-1;-1;-1;-1;-1;-1;
14000014;5.20;6;-1;-1;-1;3.50;7;8.75;3.20;-1;-1;-1;-1;-1;
14000015;6;6.75;-1;-1;-1;5.50;8;-1;-1;-1;-1;-1;-1;-1;
14000016;4.80;6.50;-1;-1;-1;6.25;7.25;9.50;7.20;-1;-1;-1;-1;-1;
14000017;3.60;5;-1;-1;-1;5.75;6.25;-1;-1;-1;-1;-1;-1;-1;
14000018;7.60;8;-1;-1;-1;6;7.75;8;7;-1;-1;-1;-1;-1;
14000019;3.20;5.25;-1;-1;-1;2.75;5.25;6.25;2.40;-1;-1;-1;-1;-1;
14000020;7.80;7.50;7;8.50;5.50;-1;-1;-1;4.60;-1;-1;-1;-1;-1;
14000021;6.20;7;-1;-1;-1;6.25;6.50;10;6.20;-1;-1;-1;-1;-1;
14000022;-1;4;-1;-1;-1;3.25;5.75;-1;-1;-1;-1;-1;-1;-1;
14000023;7.80;8.50;-1;-1;-1;8.25;8;9.75;9.40;-1;-1;-1;-1;-1;
14000024;5.60;6.50;-1;-1;-1;6;6.25;8.50;3.40;-1;-1;-1;-1;-1;
14000025;3.80;4.50;-1;-1;-1;3.50;5.25;-1;-1;-1;-1;-1;-1;-1;
14000026;5;5.25;-1;-1;-1;4.25;6.50;8.50;4.60;-1;-1;-1;-1;-1;
14000027;5.40;6.25;-1;-1;-1;4.75;-1;-1;-1;-1;-1;-1;-1;-1;
14000028;6.80;8.75;-1;-1;-1;7.50;5.75;8.50;9;-1;-1;-1;-1;-1;
14000029;4;6;-1;-1;-1;5;6.75;6.75;9;-1;-1;-1;-1;-1;
14000030;6.40;6;-1;-1;-1;3.25;7;8;6.20;-1;-1;-1;-1;-1;
14000031;6.20;-1;-1;6;5.75;-1;-1;-1;-1;-1;-1;-1;-1;-1;
14000032;3.60;5.75;-1;-1;-1;3.25;5.75;8;2.80;-1;-1;-1;-1;-1;
14000033;7;8;-1;-1;-1;6.75;7.75;9.50;7.20;-1;-1;-1;-1;-1;
14000034;7.60;5;-1;-1;-1;-1;-1;-1;3.40;-1;-1;-1;-1;-1;
14000035;5;6.58;-1;-1;-1;5;7.25;7;9.20;-1;-1;-1;-1;-1;
14000036;6.80;5.50;-1;-1;-1;2.50;6.50;8.75;4.40;-1;-1;-1;-1;-1;
14000037;7.20;8;-1;-1;-1;5.50;6.75;9.50;5.80;-1;-1;-1;-1;-1;
14000038;7;6.50;-1;-1;-1;4.50;8;8.75;8.40;-1;-1;-1;-1;-1;
14000039;6.40;5;-1;-1;-1;5;4.75;-1;-1;-1;-1;-1;-1;-1;
14000040;9;4.25;8.25;5;4.50;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
14000041;4.20;4.25;-1;-1;-1;3.25;6.50;8.50;5.40;-1;-1;-1;-1;-1;
14000042;3.40;4;-1;-1;-1;2.75;4;-1;-1;-1;-1;-1;-1;-1;
14000043;4;5.75;-1;-1;-1;4.50;5.75;7.50;4.80;-1;-1;-1;-1;-1;
14000044;6.80;7.25;-1;-1;-1;3.50;7.50;9;6.80;-1;-1;-1;-1;-1;
14000045;8.60;7.50;-1;-1;-1;7;8.50;7.50;8.80;-1;-1;-1;-1;-1;
14000046;5.60;6.50;-1;-1;-1;5.25;6;8;8.40;-1;-1;-1;-1;-1;
14000047;6;7.75;-1;-1;-1;9;9.75;7.75;7.20;-1;-1;-1;-1;-1;
14000048;6.60;7.25;-1;-1;-1;4.25;7.25;8;5;-1;-1;-1;-1;-1;
14000049;6;6.75;-1;-1;-1;3.75;6;7.50;8.60;-1;-1;-1;-1;-1;
14000050;5;8;-1;-1;-1;2;5.75;8;5.20;-1;-1;-1;-1;-1;
14000051;8;6.50;7.50;7.50;5.50;-1;-1;-1;5.40;-1;-1;-1;-1;-1;
14000052;6.40;7.25;-1;-1;-1;4.50;5.75;9;5;-1;-1;-1;-1;-1;
14000053;6;7;-1;-1;-1;2.50;7.75;9.25;3.60;-1;-1;-1;-1;-1;
14000054;6.80;5.50;-1;-1;-1;3;5.75;9.50;5.20;-1;-1;-1;-1;-1;
14000055;5.40;6.50;3;4.75;3.75;-1;-1;-1;1.40;-1;-1;-1;-1;-1;
14000056;7.20;7;-1;-1;-1;7;8.25;9.25;3.80;-1;-1;-1;-1;-1;
14000057;6.20;4.75;-1;-1;-1;5;8.50;-1;-1;-1;-1;-1;-1;-1;
14000058;5;6;-1;-1;-1;3.25;6.50;8.25;3.80;-1;-1;-1;-1;-1;
14000059;7.20;7.50;-1;-1;-1;7.75;8.50;10;6.60;-1;-1;-1;-1;-1;
14000060;8.20;6.75;7.25;4.50;3.50;-1;-1;-1;7.60;-1;-1;-1;-1;-1;
14000061;7.40;6.75;-1;-1;-1;5.50;6.75;8.50;5.80;-1;-1;-1;-1;-1;
14000062;5;6;-1;-1;-1;4.75;6;8.50;5;-1;-1;-1;-1;-1;
14000063;2.80;4.75;-1;-1;-1;3.50;7.25;8.25;2.60;-1;-1;-1;-1;-1;
14000064;6.60;7.25;-1;-1;-1;6.75;8.25;9;9.60;-1;-1;-1;-1;-1;
14000065;7.40;8;-1;-1;-1;6.25;8.25;9.25;7.40;-1;-1;-1;-1;-1;
14000066;3;3.75;-1;-1;-1;3.25;-1;-1;-1;-1;-1;-1;-1;-1;
14000067;2.40;1.75;-1;-1;-1;3.75;-1;-1;-1;-1;-1;-1;-1;-1;
14000068;8;6.50;-1;-1;-1;4.25;7.75;8.75;6.60;-1;-1;-1;-1;-1;
14000069;4.80;7.75;-1;-1;-1;6.25;5;8.75;7.60;-1;-1;-1;-1;-1;
14000070;7.60;8;-1;-1;-1;7.50;7.75;10;8.40;-1;-1;-1;-1;-1;
14000071;4.20;5.50;-1;-1;-1;7;6.25;8.50;3.80;-1;-1;-1;-1;-1;
14000072;5.60;8.25;-1;-1;-1;9.25;8.25;9.25;6.40;-1;-1;-1;-1;-1;
14000073;5.20;6.25;-1;-1;-1;4.50;5.75;8.50;6.80;-1;-1;-1;-1;-1;
14000074;8.60;7.75;5;5.50;5.75;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
14000075;4.60;6.50;-1;-1;-1;6;7.25;7.25;3.20;-1;-1;-1;-1;-1;
14000076;-1;5.25;-1;-1;-1;5.25;5.50;-1;-1;-1;-1;-1;-1;-1;
14000077;6;4.50;-1;-1;-1;1.25;6;8;3.20;-1;-1;-1;-1;-1;
14000078;5.60;8.25;-1;-1;-1;4.75;7;9.50;2.40;-1;-1;-1;-1;-1;
14000079;6.60;6.75;-1;-1;-1;5.50;7.25;9.50;3.60;-1;-1;-1;-1;-1;
14000080;4.60;4.50;-1;-1;-1;2.75;6.75;7.75;2;-1;-1;-1;-1;-1;
14000081;5.20;7;-1;-1;-1;6;8.25;8.25;4.80;-1;-1;-1;-1;-1;
14000082;5.60;7.25;-1;-1;-1;2.25;6;-1;-1;-1;-1;-1;-1;-1;
14000083;6.60;6.25;6.75;4.25;4.25;-1;-1;-1;7.60;-1;-1;-1;-1;-1;
14000084;6;4;-1;-1;-1;6.50;-1;-1;-1;-1;-1;-1;-1;-1;
